Position,Track,Artist,Streams,ADMIN
5,Ya No Me Duele Más,Silvestre Dangond,28921,Colombia
6,Vente Pa' Ca,Ricky Martin,25676,Colombia
7,Bailame Despacio,Xantos,23243,Colombia
8,Andas En Mi Cabeza,Chino & Nacho,21651,Colombia
9,Traicionera,Sebastian Yatra,21360,Colombia
10,Reggaetón Lento (Bailemos),CNCO,21141,Colombia
1,Closer,The Chainsmokers,30142,Singapore
2,Say You Won't Let Go,James Arthur,26576,Singapore
3,Starboy,The Weeknd,25366,Singapore
4,Let Me Love You,DJ Snake,23237,Singapore
5,Don't Wanna Know,Maroon 5,20348,Singapore
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,20158,Singapore
7,All We Know,The Chainsmokers,20054,Singapore
8,Bad Things (with Camila Cabello),Machine Gun Kelly,19205,Singapore
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,19196,Singapore
10,24K Magic,Bruno Mars,17090,Singapore
1,Closer,The Chainsmokers,45330,Indonesia
2,Say You Won't Let Go,James Arthur,40815,Indonesia
3,All We Know,The Chainsmokers,39557,Indonesia
4,Let Me Love You,DJ Snake,35205,Indonesia
5,Don't Wanna Know,Maroon 5,34084,Indonesia
6,Starving,Hailee Steinfeld,30847,Indonesia
7,Starboy,The Weeknd,30457,Indonesia
8,Bad Things (with Camila Cabello),Machine Gun Kelly,29412,Indonesia
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,28572,Indonesia
10,Alone,Marshmello,28562,Indonesia
1,Chantaje,Shakira,7707,Dominican Republic
2,Otra Vez (feat. J Balvin),Zion & Lennox,7267,Dominican Republic
3,Dile Que Tu Me Quieres,Ozuna,7005,Dominican Republic
4,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,6606,Dominican Republic
